Hospital Name,City,State
ACE Heart & Vascular Institute,Mohali,Punjab
Community Health Centre (CHC) Morinda,Rupnagar,Punjab
Mahajan Eye Hospital And Maternity Home (Lasik Laser Centre),Jalandhar,Punjab
National Fertilizer Limited Hospital,Rupnagar,Punjab
Rajan Nursing And Maternity Home,Fatehgarh Sahib,Punjab
Rg Stone & Super Speciality Hospital,Ludhiana,Punjab
S. D. Sharma Hospital,Moga,Punjab
Shakeen Eye Hospital,Amritsar,Punjab
Shivalik Hospital & Trauma Centre,Rupnagar,Punjab
Sidana Hospital,Barnala,Punjab
Sidhu Hospital Pvt Ltd,Ludhiana,Punjab
Sigma Eye Care Centre,Fatehgarh Sahib,Punjab
Sigma Hospital,Jalandhar,Punjab
Singh Eye Centre,Fatehgarh Sahib,Punjab
Singla Eye & Phaco Centre,Bathinda,Punjab
Singla Eye Hospital - Barnala,Barnala,Punjab
Singla Hospital & Maternity Home,Sangrur,Punjab
Sital Orthopaedic Centre & Nursing Home,Barnala,Punjab
Sri Guru Ram Dass Hospital,Amritsar,Punjab
Sri Sukhmani Multi Speciality Hospital Derabassi,Sas Nagar,Punjab
Sukh Sadan Hospital & Trauma Centre,Gurdaspur,Punjab
Sukh Sagar Hospital,Amritsar,Punjab
Sukhmani Hospital,Nawanshahr,Punjab
Sukhmani Hospital & Heart Care Centre,Faridkot,Punjab
Sunit Diagonostics (Hind Hospital),Sangrur,Punjab
Sunjan Singh Dental Care Centre,Faridkot,Punjab
Sunny Maternity & Nursing Home,Patiala,Punjab
Surya Kidney Care,Rupnagar,Punjab
Swami Premanand (Ch. ) Hospital,Hoshiarpur,Punjab
Swami Satyanand Hospital,Jalandhar,Punjab
Swami Vivekanand Hospital,Ludhiana,Punjab
Swastik Eye Care Centre,Amritsar,Punjab
Takkar Children Nursing Home & Hospital,Ludhiana,Punjab
Talwar Hospital-Jalandhar,Jalandhar,Punjab
Tandon Nursing Home,Fatehgarh Sahib,Punjab
Tarlochan Singh Eye Hospital,Barnala,Punjab
Thind Plastic & Cosmetic Surgery Centre,Fatehgarh Sahib,Punjab
Tilak Hospital-Gurdaspur,Gurdaspur,Punjab
174 Military Hospital,Bathinda,Punjab
174 Military Hospital Bhatinda,Bathinda,Punjab
32 Dental Clinic,Mohali,Punjab
32 Gems Dental Clinic,Ludhiana,Punjab
32 Gems Dental Clinic Regd,Ludhiana,Punjab
4010 Field Hospital,Bathinda,Punjab
A K Hospital New Shiv Puri Ludhiana,Ludhiana,Punjab
A One Nagi Hospital,Faridkot,Punjab
A P Jain Civil Hospital,Patiala,Punjab
A. K. Clinics,Ludhiana,Punjab
A. K. Health Clinic,Phagwara,Punjab
A. P. Hospital,Amritsar,Punjab
Aaram Physiotherapy Clinic,Ludhiana,Punjab
Aarogya Homoeo Care Clinic,Hoshiarpur,Punjab
Aarogya Hospital,Firozpur,Punjab
Aarti Eye Hospital,Ludhiana,Punjab
Aashirwad General Hospital,Sangrur,Punjab
Aashirwad Hospital Jalandhar,Jalandhar,Punjab
Aasirwad Hospital,Ludhiana,Punjab
Aastha Beauty Clinic,Ludhiana,Punjab
Aastha Clinic,Ludhiana,Punjab
Aastha Hospital,Barnala,Punjab
Aastha Hospital,Moga,Punjab
Aastha Hospital,Rupnagar,Punjab
Aastha Kidney & Super Speciality Hospital,Ludhiana,Punjab
Aastha Kidney & Super Specialty Hospital,Ludhiana,Punjab
Aastha Kidney Hospital,Ludhiana,Punjab
Abhay Dental Implant Clinic & Oral Maxillofacial Surgeon,Faridkot,Punjab
Abroi Hospital,Gurdaspur,Punjab
Abrol Dental Clinic,Muktsar,Punjab
Abul Kalam Azad Paramedical Institute,Sangrur,Punjab
Ace Heart And Vascular Institute( A Unit Of Prime Cardiac Care Pvt Ltd) / Prime Heart and Vascular Institute,Rupnagar,Punjab
ACHARYA S. MUNI CHARITABLE HOSPITAL,Hoshiarpur,Punjab
Adarsh Bone And Joint Hospital,Kapurthala,Punjab
Adesh Hospital,Bathinda,Punjab
ADESH HOSPITAL & RESEARCH CENTRE,Sri Muktsar Sahib,Punjab
Adesh Hospital & Research Centre,Bathinda,Punjab
Adesh Hospital and Research Centre,Sri Muktsar Sahib,Punjab
Adesh Institute Of Medical Sciences and Research,Bathinda,Punjab
Adityaj Hospital & Laboratory,Sahibzada Ajit Singh Nagar,Punjab
Adityaj Hospital And Laboratory,Rupnagar,Punjab
Adlakha Hospital,Amritsar,Punjab
Ads Dentacme Dental clinic,Zirakpur,Punjab
Advance Care Clinical Lab,Rupnagar,Punjab
Advance Ludhiana Eye Hospital,Kapurthala,Punjab
